# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	143308
#@/user_id	77f2e777-e85d-43ee-9e5e-1824289d1c44
ao di li 	奧地利	c=1 d=1 t=1595
ao ge 	奧格	c=0 d=0.1 t=12368
ao ge rui la 	奧格瑞拉	c=1 d=1 t=12369
ao hui 	奧會	c=1 d=1 t=120203
ao jiao 	傲嬌	c=1 d=1 t=83378
ao le 	熬了	c=1 d=1 t=119847
ao li 	傲立	c=0 d=0.1 t=6287
ao li 	奧利	c=1 d=1 t=30158
ao li bo si 	傲立波斯	c=1 d=1 t=6288
ao lin pi ke 	奧林匹克	c=1 d=1 t=1624
ao men 	澳門	c=2 d=1 t=74737
ao po 	奧破	c=2 d=1.47951 t=77450
ao si 	奧斯	c=1 d=1 t=131164
ao si 	熬死	c=1 d=1 t=15676
ao te lai si 	奧特萊斯	c=1 d=1 t=85133
ao te man 	奧特曼	c=2 d=1 t=110089
ao wei hui 	奧委會	c=1 d=1 t=7837
ao ye 	熬夜	c=1 d=1 t=35179
ao yuan 	澳元	c=2 d=1.94649 t=38353
ao yun 	奧運	c=2 d=1 t=136634
ao yun hui 	奧運會	c=8 d=1.90484 t=136747
ao zhong sheng 	奧鐘聲	c=1 d=1 t=86799
ao zhou 	澳洲	c=16 d=1 t=143063
ao zhou long xia 	澳洲龍蝦	c=1 d=1 t=20569
ba 	八	c=2 d=1.00028 t=104756
ba 	吧	c=502 d=1.99518 t=142205
ba 	巴	c=3 d=0.1 t=143064
ba 	扒	c=11 d=1 t=126880
ba 	把	c=273 d=1.00856 t=140555
ba 	拔	c=3 d=1 t=136141
ba 	爸	c=6 d=1 t=140267
ba ba 	把把	c=0 d=0.1 t=132349
ba ba 	爸爸	c=11 d=1.02855 t=140293
ba ba guan 	把把關	c=1 d=1 t=132350
ba bao 	八寶	c=1 d=1 t=116958
ba bao zhou 	八寶粥	c=8 d=1 t=124351
ba bei shang 	把悲傷	c=1 d=1 t=121996
ba bi 	芭比	c=1 d=1 t=16476
ba bing 	把柄	c=1 d=1 t=45248
ba bu de 	巴不得	c=1 d=1 t=2416
ba bu ya 	巴布亞	c=3 d=2.18616 t=89477
ba cha 	拔叉	c=1 d=1 t=13665
ba che 	把車	c=1 d=1 t=38738
ba chu 	扒出	c=0 d=0.1 t=17053
ba chu lai 	扒出來	c=1 d=1 t=17054
ba chuan 	把船	c=1 d=1 t=90104
ba da 	八大	c=0 d=0.1 t=105333
ba da jia 	八大家	c=1 d=1 t=92523
ba di er qi 	拔地而起	c=1 d=1 t=21475
ba dian 	八點	c=1 d=1 t=40925
ba diao 	拔掉	c=1 d=1 t=97602
ba fang 	八方	c=1 d=1 t=11935
ba fei te 	巴菲特	c=1 d=1 t=86846
ba gu wen 	八股文	c=1 d=1 t=20757
ba gua 	八卦	c=10 d=1 t=117744
ba guan 	罷官	c=1 d=1 t=129337
ba guo 	把鍋	c=2 d=1 t=95708
ba guo lian jun 	八國聯軍	c=1 d=1 t=72535
ba he 	巴赫	c=1 d=0.1 t=117022
ba he mu te 	巴赫姆特	c=1 d=1 t=117023
ba hua 	把話	c=1 d=1 t=28693
ba ji si tan 	巴基斯坦	c=2 d=1.97045 t=98811
ba jiang jun 	拔將軍	c=1 d=1 t=5440
ba jiao hui xiang 	八角茴香	c=1 d=1 t=77174
ba ju 	八句	c=1 d=1 t=43569
ba lai ke 	巴來客	c=1 d=1 t=143065
ba le 	扒了	c=1 d=1 t=97455
ba li 	巴釐	c=2 d=1 t=136726
ba lian sha 	八連殺	c=1 d=1 t=124676
ba lin 	巴林	c=1 d=1 t=134299
ba lu jun 	八路軍	c=1 d=1 t=62593
ba ma 	爸媽	c=20 d=1.00019 t=129902
ba men 	把門	c=1 d=1 t=56941
ba mian 	罷免	c=1 d=1 t=16593
ba min zhu dang 	把民主黨	c=1 d=1 t=135051
ba ni 	把你	c=4 d=1.99005 t=114143
ba ni jia 	把你家	c=1 d=1 t=51046
ba ni men 	把你們	c=4 d=1 t=137604
ba qi 	拔起	c=1 d=1 t=110499
ba qian 	八錢	c=1 d=1 t=120196
ba quan 	霸權	c=2 d=1.97531 t=72523
ba ren 	把人	c=2 d=1 t=64803
ba shan she shui 	跋山涉水	c=1 d=1 t=26235
ba shang 	壩上	c=1 d=1 t=106509
ba shi 	把式	c=0 d=0.1 t=47589
ba ta 	把它	c=3 d=1 t=107030
ba tie 	巴鐵	c=2 d=1 t=96117
ba wang 	霸王	c=1 d=1 t=140902
ba wang can 	霸王餐	c=1 d=1 t=14182
ba wang long 	霸王龍	c=1 d=1 t=126756
ba wo 	把我	c=5 d=1 t=134735
ba wo 	把握	c=1 d=0.1 t=39948
ba wo men 	把我們	c=1 d=1 t=123794
ba xi 	巴西	c=1 d=0.1 t=136507
ba xi kao rou 	巴西烤肉	c=1 d=1 t=136508
ba ya 	拔牙	c=1 d=1 t=21192
ba yi ge 	把一個	c=1 d=1 t=55330
ba zan lia 	吧咱倆	c=1 d=1 t=92657
ba zhe 	八折	c=1 d=1 t=75464
ba zhe 	把這	c=0 d=0.1 t=115706
ba zhe duan 	把這段	c=1 d=1 t=115707
ba zhe ge 	把這個	c=5 d=1 t=133792
ba zhe xie 	把這些	c=1 d=1 t=70757
ba zhu 	霸主	c=1 d=1 t=8755
ba zhua yu 	八爪魚	c=1 d=1 t=88619
ba zi 	八字	c=1 d=1 t=735
ba zi 	巴子	c=0 d=0.1 t=77294
ba zi 	把子	c=0 d=0.1 t=85201
ba zi 	靶子	c=6 d=1.00072 t=76675
ba zi ji 	把自己	c=3 d=1 t=91929
bai 	拜	c=2 d=1 t=127849
bai 	掰	c=1 d=1 t=78065
bai 	擺	c=4 d=1 t=131455
bai 	敗	c=2 d=1.99501 t=137548
bai 	白	c=15 d=0.1 t=140258
bai 	百	c=3 d=1 t=136166
bai bai 	拜拜	c=3 d=1 t=116632
bai bai 	白白	c=5 d=1 t=117900
bai bei 	敗北	c=1 d=1 t=41102
bai bu 	百步	c=1 d=1 t=89924
bai cai 	白菜	c=2 d=0.1 t=124372
bai cao ku 	百草枯	c=4 d=3.59094 t=123330
bai chi 	白吃	c=1 d=1 t=14549
bai chi 	白癡	c=1 d=1 t=61669
bai de ba zi 	拜的把子	c=1 d=1 t=85202
bai deng 	拜登	c=50 d=1.19989 t=137724
bai du 	百度	c=37 d=1.00296 t=130234
bai du bai ke 	百度百科	c=1 d=1 t=512
bai du bu qin 	百毒不侵	c=1 d=1 t=15618
bai du di tu 	百度地圖	c=4 d=1 t=109444
bai fang 	拜訪	c=1 d=1 t=43241
bai fei 	白肺	c=1 d=1 t=85725
bai fen bi 	百分比	c=2 d=1 t=134439
bai fen zhi bai 	百分之百	c=1 d=1 t=84043
bai gei 	白給	c=2 d=1 t=141459
bai gong 	白宮	c=5 d=1 t=141256
bai hao kan 	白好看	c=2 d=1.7788 t=140309
bai he 	百合	c=1 d=1 t=10703
bai hou zi 	白猴子	c=2 d=1.88692 t=58988
bai hua 	白化	c=1 d=1 t=42449
bai huo 	白活	c=1 d=1 t=125925
bai huo le 	白活了	c=1 d=1 t=39237
bai jia 	百家	c=1 d=1 t=76597
bai jia zheng ming 	百家爭鳴	c=1 d=1 t=45976
bai jie 	白潔	c=19 d=5.00843 t=143004
bai jing 	白鯨	c=1 d=1 t=84913
bai kai shui 	白開水	c=1 d=1 t=41877
bai le 	敗了	c=1 d=1 t=44661
bai le 	白了	c=1 d=1 t=41620
bai lei 	敗類	c=1 d=1 t=69732
bai ling 	白領	c=1 d=1 t=15648
bai lu 	白鹿	c=0 d=0.1 t=134714
bai lu yuan 	白鹿原	c=5 d=4.87225 t=134724
bai lun 	拜倫	c=1 d=1 t=66902
bai lun xue lai 	拜倫雪萊	c=1 d=1 t=31010
bai luo bo 	白蘿蔔	c=1 d=1 t=4385
bai mao zi 	白帽子	c=1 d=1 t=49777
bai mei gui 	白玫瑰	c=2 d=1.99005 t=135366
bai mi 	白米	c=1 d=1 t=20225
bai mi fan 	白米飯	c=2 d=1 t=86184
bai ming dan 	白名單	c=3 d=1 t=128567
bai nian 	拜年	c=3 d=2.66725 t=88913
bai nian 	百年	c=2 d=0.1 t=76762
bai nian hao he 	百年好合	c=2 d=1 t=114577
bai nian wei you 	百年未有	c=1 d=1 t=76763
bai niang zi 	白娘子	c=2 d=1 t=127810
bai niao 	白鳥	c=1 d=1 t=85752
bai pai 	擺拍	c=2 d=1 t=124689
bai ren 	拜仁	c=1 d=1 t=29013
bai ren 	白人	c=6 d=1 t=108174
bai ri 	白日	c=0 d=0.1 t=87078
bai ri meng 	白日夢	c=1 d=1 t=39391
bai ri yi shan jin 	白日依山近	c=1 d=1 t=87079
bai se 	白色	c=7 d=0.1 t=136487
bai se de 	白色的	c=1 d=1 t=85795
bai shan xiao wei xian 	百善孝爲先	c=1 d=1 t=134636
bai shao 	白芍	c=1 d=1 t=142963
bai shen me 	拜什麼	c=1 d=1 t=124990
bai shi 	拜師	c=1 d=1 t=126973
bai shi 	白事	c=1 d=1 t=128501
bai shi 	白石	c=1 d=1 t=139047
bai shi 	百事	c=1 d=1 t=121937
bai shou qi jia 	白手起家	c=2 d=1 t=128559
bai shou tao 	白手套	c=1 d=1 t=70242
bai shu 	白朮	c=1 d=1 t=142964
bai shui 	白水	c=0 d=0.1 t=138591
bai shui zhu xia 	白水煮蝦	c=1 d=1 t=138592
bai su 	白素	c=1 d=1 t=133643
bai tan 	擺攤	c=2 d=1 t=134878
bai tian 	白天	c=6 d=1 t=75785
bai tou 	白頭	c=1 d=1 t=112442
bai tou fa 	白頭髮	c=1 d=1 t=127104
bai tui 	敗退	c=1 d=1 t=60294
bai tuo 	擺脫	c=1 d=1 t=90095
bai wan 	百萬	c=1 d=1.08511 t=93095
bai wan ci 	百萬次	c=1 d=1 t=93096
bai wei bing 	白衛兵	c=1 d=1 t=38594
bai wu yi yong shi shu sheng 	百無一用是書生	c=1 d=1 t=27613
bai xia 	白瞎	c=1 d=1 t=85721
bai xing 	百姓	c=8 d=1 t=134315
bai xue bing 	白血病	c=2 d=1.93707 t=53974
bai yan 	白眼	c=0 d=0.1 t=31154
bai yan er 	白眼兒	c=1 d=1 t=31155
bai yan lang 	白眼狼	c=1 d=1 t=43447
bai yang dian 	白洋淀	c=1 d=1 t=126092
bai ye chuang 	百葉窗	c=1 d=1 t=117789
bai yin 	白銀	c=2 d=1.99005 t=101538
bai yu 	白玉	c=0 d=0.1 t=4477
bai yu tang 	白玉湯	c=1 d=1 t=4478
bai yue guang 	白月光	c=2 d=1 t=84172
bai yun 	白雲	c=1 d=1 t=34768
bai zai 	擺在	c=2 d=1 t=124851
bai zheng 	擺正	c=1 d=1 t=129256
bai zhi 	白紙	c=3 d=1.956 t=93347
bai zi 	百字	c=1 d=1 t=139783
bai zu 	白族	c=1 d=1 t=100485
ban 	伴	c=1 d=1 t=52447
ban 	半	c=9 d=1 t=122443
ban 	扳	c=0 d=0.1 t=118658
ban 	搬	c=7 d=1.00012 t=119715
ban 	斑	c=3 d=2.97025 t=91011
ban 	板	c=2 d=1 t=122675
ban 	版	c=22 d=0.199005 t=142390
ban 	班	c=4 d=1 t=139437
ban 	瓣	c=1 d=1 t=39115
ban 	般	c=2 d=0.1 t=112962
ban 	辦	c=31 d=1.00039 t=132109
ban ban 	板板	c=3 d=1 t=55843
ban bei zi 	半輩子	c=2 d=1 t=48758
ban ben 	版本	c=37 d=0.1 t=140347
ban ben li 	版本裏	c=1 d=1 t=74706
ban ben zhong 	版本中	c=1 d=1 t=124361
ban bian 	半邊	c=1 d=1 t=7268
ban bu cheng 	辦不成	c=1 d=1 t=55869
ban bu dao 	辦不到	c=1 d=1 t=131512
ban che 	班車	c=1 d=1 t=140199
ban chu 	搬出	c=3 d=1 t=83785
ban chu qu 	搬出去	c=1 d=1 t=12892
ban da shi 	辦大事	c=1 d=1 t=13600
ban dao ti 	半導體	c=1 d=1 t=31598
ban de 	辦得	c=1 d=1 t=87359
ban de rui 	班德瑞	c=1 d=1 t=2204
ban de xia lai 	辦得下來	c=1 d=1 t=31399
ban deng 	板凳	c=0 d=0.1 t=39143
ban dian 	斑點	c=1 d=1 t=78250
ban diao zi 	半吊子	c=1 d=1 t=34113
ban er 	半兒	c=1 d=1 t=57638
ban fa 	辦法	c=12 d=1.13765 t=102100
ban fa 	頒發	c=1 d=1 t=102968
ban ge 	半個	c=5 d=1 t=116466
ban ge 	辦個	c=1 d=1 t=1805
ban ge xiao shi 	半個小時	c=1 d=1 t=140040
ban ge yue 	半個月	c=4 d=1 t=135925
ban gong 	辦公	c=14 d=1 t=125786
ban gong chang 	搬工廠	c=1 d=1 t=21833
ban gong shi 	辦公室	c=10 d=1.52205 t=142127
ban gong ting 	辦公廳	c=3 d=2.93124 t=124774
ban guo 	辦過	c=1 d=1 t=47735
ban guo lai 	搬過來	c=1 d=1 t=118374
ban guo wai 	搬國外	c=1 d=1 t=54666
ban hui 	半會	c=1 d=0.797676 t=98705
ban hui er 	半會兒	c=2 d=1 t=110869
ban hui lai 	扳回來	c=1 d=1 t=118659
ban hun li 	辦婚禮	c=1 d=1 t=67041
ban jia 	搬家	c=9 d=1 t=139071
ban jia ba 	搬家吧	c=1 d=1 t=74765
ban jia hou 	搬家後	c=1 d=1 t=117271
ban jia zhi hou 	搬家之後	c=1 d=1 t=118501
ban jie 	半截	c=3 d=1 t=123133
ban jin 	搬進	c=1 d=1 t=28585
ban jin ba liang 	半斤八兩	c=1 d=1 t=50203
ban ju 	半句	c=0 d=0.1 t=25757
ban kong 	半空	c=1 d=1 t=10749
ban kuai 	板塊	c=2 d=1 t=71364
ban lai 	搬來	c=1 d=1 t=118514
ban lai ban qu 	搬來搬去	c=1 d=1 t=118504
ban lang 	伴郎	c=1 d=1 t=1124
ban le 	搬了	c=1 d=1 t=45800
ban le jian 	版了件	c=1 d=1 t=99785
ban li 	搬離	c=1 d=1 t=133243
ban li 	辦理	c=2 d=1 t=136905
ban lie 	班列	c=1 d=1 t=92541
ban lu 	半路	c=2 d=1 t=111105
ban ma 	斑馬	c=5 d=3.71214 t=142188
ban mian 	版面	c=1 d=1 t=108020
ban nian 	半年	c=15 d=1 t=131629
ban nian qian 	半年前	c=1 d=1 t=100093
ban nian qian 	辦年前	c=1 d=1 t=87925
ban niang 	伴娘	c=1 d=1 t=1123
ban po 	半坡	c=1 d=1.04176 t=2152
ban po qi bu 	半坡起步	c=1 d=1 t=2153
ban qi 	搬起	c=1 d=1 t=53148
ban qi shi tou 	搬起石頭	c=3 d=1.00359 t=69416
ban qian zheng 	辦簽證	c=1 d=1 t=92503
ban qiao 	板橋	c=2 d=1.58275 t=126049
ban qu 	搬去	c=4 d=1 t=118515
ban quan 	半圈	c=2 d=1 t=89384
ban quan 	版權	c=3 d=1 t=95841
ban quan shui 	版權稅	c=1 d=1 t=71102
ban ri 	半日	c=0 d=0.1 t=100838
ban ri xian 	半日閒	c=1 d=1 t=100839
ban shan yao 	半山腰	c=1 d=1 t=93756
ban shang ding ding 	板上釘釘	c=1 d=1 t=5217
ban shi 	辦事	c=2 d=1 t=97168
ban shi ji 	半世紀	c=1 d=1 t=104872
ban shou 	扳手	c=1 d=1 t=116761
ban shuai qi 	半衰期	c=1 d=1 t=93308
ban sui 	伴隨	c=2 d=1 t=120924
ban tian 	半天	c=36 d=1 t=139447
ban tian jia 	半天假	c=2 d=1.26054 t=14322
ban tui ban jiu 	半推半就	c=2 d=1 t=81777
ban wu 	伴舞	c=1 d=1 t=95106
ban xiao shi 	半小時	c=6 d=1.00003 t=142216
ban xiao shi hou 	半小時後	c=1 d=1 t=17743
ban xiao shi qian 	半小時錢	c=1 d=1 t=17739
ban yan 	扮演	c=3 d=1 t=143024
ban yan le 	扮演了	c=1 d=1 t=99724
ban ye 	半夜	c=25 d=1.90937 t=127513
ban yi ge 	辦一個	c=1 d=1 t=89966
ban yuan 	半圓	c=1 d=1 t=92053
